code	display_name
47579008	Salmonella Brazos (organism)
34153004	Salmonella Brazzaville (organism)
114559004	Salmonella Breda (organism)
13491009	Salmonella Brefet (organism)
66544006	Salmonella Brevik (organism)
46180006	Salmonella Brezany (organism)
1804009	Salmonella Brijbhumi (organism)
114319003	Salmonella Brindisi (organism)
88121001	Salmonella Brisbane (organism)
64456006	Salmonella Bristol (organism)
6432008	Salmonella Brive (organism)
114808007	Salmonella Broc (organism)
81978001	Salmonella Bron (organism)
9179000	Salmonella Bronx (organism)
302718004	Salmonella Brooklyn (organism)
60230009	Salmonella Broughton (organism)
21786003	Salmonella Bruck (organism)
114407007	Salmonella Brunflo (organism)
114554009	Salmonella Bsilla (organism)
114882005	Salmonella Buckeye (organism)
22729005	Salmonella Bukavu (organism)
42173006	Salmonella Bukuru (organism)
21164005	Salmonella Bulgaria (organism)
37971001	Salmonella Bullbay (organism)
21081003	Salmonella Burgas (organism)
114770009	Salmonella Burundi (organism)
67282009	Salmonella Bury (organism)
31602000	Salmonella Businga (organism)
45866006	Salmonella Butare (organism)
79910006	Salmonella Caen (organism)
69847009	Salmonella Cairns (organism)
65700004	Salmonella Calabar (organism)
7031002	Salmonella California (organism)
91112005	Salmonella Calvinia (organism)
46189007	Salmonella Camberene (organism)
52981000	Salmonella Camberwell (organism)
57428009	Salmonella Campinense (organism)
114750003	Salmonella Canary (organism)
114685005	Salmonella Cannobio (organism)
75347006	Salmonella Cannonhill (organism)
28206007	Salmonella Cannstatt (organism)
36807005	Salmonella Canton (organism)
302637003	Salmonella Cardiff (organism)
114400009	Salmonella Cardoner (organism)
57587004	Salmonella Carnac (organism)
32624003	Salmonella Carrau (organism)
58006000	Salmonella Carswell (organism)
75329000	Salmonella Casablanca (organism)
39185004	Salmonella Casamance (organism)
114677001	Salmonella Catalunia (organism)
46292001	Salmonella Catanzaro (organism)
397577006	Salmonella categorized by O antigen (organism)
80841005	Salmonella Cayar (organism)
48704004	Salmonella Ceyco (organism)
77961006	Salmonella Chagoua (organism)
63877008	Salmonella Champaign (organism)
748001	Salmonella Chandans (organism)
9818000	Salmonella Charity (organism)
57024000	Salmonella Charlottenburg (organism)
114596008	Salmonella Cheltenham (organism)
76027002	Salmonella Chichiri (organism)
114512006	Salmonella Chile (organism)
89885000	Salmonella Chiredzi (organism)
30864008	Salmonella Chittagong (organism)
71357001	Salmonella Chomedey (organism)
30665007	Salmonella Christiansborg (organism)
47569006	Salmonella Clackamas (organism)
10851004	Salmonella Clerkenwell (organism)
55975004	Salmonella Cleveland (organism)
112298009	Salmonella Cochin (organism)
112297004	Salmonella Cocody (organism)
3835006	Salmonella Colobane (organism)
88649009	Salmonella Colombo (organism)
88248006	Salmonella Congo (organism)
114334009	Salmonella Connecticut (organism)
34520002	Salmonella Coogee (organism)
112302001	Salmonella Coquilhatville (organism)
86511007	Salmonella Cotia (organism)
69040005	Salmonella Cremieu (organism)
35203007	Salmonella Croft (organism)
12767007	Salmonella Crossness (organism)
11579007	Salmonella Cullingworth (organism)
114728004	Salmonella Cumberland (organism)
21436008	Salmonella Cyprus (organism)
64354008	Salmonella Czernyring (organism)
302653000	Salmonella Daarle (organism)
66863002	Salmonella Dabou (organism)
54227005	Salmonella Dadzie (organism)
15578008	Salmonella Dahlem (organism)
9852002	Salmonella Dahomey (organism)
23665004	Salmonella Dakar (organism)
10457006	Salmonella Dakota (organism)
50273002	Salmonella Dallgow (organism)
116053006	Salmonella Damman (organism)
50772008	Salmonella Dan (organism)
79238006	Salmonella Dapango (organism)
114558007	Salmonella Daula (organism)
55580001	Salmonella Daytona (organism)
114604007	Salmonella Deckstein (organism)
114648002	Salmonella Delmenhorst (organism)
84156006	Salmonella Dembe (organism)
40685009	Salmonella Demerara (organism)
87693007	Salmonella Derkle (organism)
112305004	Salmonella Dessau (organism)
49831004	Salmonella Deversoir (organism)
114667003	Salmonella Dibra (organism)
19191009	Salmonella Diguel (organism)
90970000	Salmonella Diogoye (organism)
44109007	Salmonella Diourbel (organism)
21329006	Salmonella Djama (organism)
760000	Salmonella Djelfa (organism)
32549009	Salmonella Djermaia (organism)
17036007	Salmonella Djibouti (organism)
77231007	Salmonella Doba (organism)
114683003	Salmonella Doel (organism)
1921001	Salmonella Donna (organism)
74464001	Salmonella Doorn (organism)
114676005	Salmonella Douala (organism)
42971009	Salmonella Dougi (organism)
23271001	Salmonella Doulassame (organism)
720961001	Salmonella Drac (organism)
77114009	Salmonella Dresden (organism)
90683001	Salmonella Driffield (organism)
62441003	Salmonella Drogana (organism)
72958001	Salmonella Dumfries (organism)
114564000	Salmonella Dunkwa (organism)
84287002	Salmonella Duval (organism)
114299000	Salmonella Eastglam (organism)
56088006	Salmonella Eberswalde (organism)
54309009	Salmonella Ebrie (organism)
55246000	Salmonella Echa (organism)
18717008	Salmonella Edmonton (organism)
69573008	Salmonella Egusi (organism)
39045008	Salmonella Eimsbuettel (organism)
25487003	Salmonella Eingedi (organism)
5372008	Salmonella Eko (organism)
31093000	Salmonella Ekotedo (organism)
2191008	Salmonella Ekpoui (organism)
66778003	Salmonella Elokate (organism)
60794003	Salmonella Elomrane (organism)
25037003	Salmonella Emmastad (organism)
82241007	Salmonella Encino (organism)
45091005	Salmonella Enschede (organism)
86876004	Salmonella Entebbe (organism)
110378009	Salmonella enterica (organism)
398508004	Salmonella enterica subsp. enterica (organism)
5595000	Salmonella enterica subspecies enterica serovar Typhi (organism)
441843002	Salmonella enterica subspecies enterica serovar 4,[5],12:d:- (organism)
783344000	Salmonella enterica subspecies enterica serovar 4,5,12:-:- (organism)
441713006	Salmonella enterica subspecies enterica serovar 6,7:b:- (organism)
442153002	Salmonella enterica subspecies enterica serovar 9,12:-:1,7 (organism)
75196009	Salmonella enterica subspecies enterica serovar Butantan (organism)
398466004	Salmonella enterica subspecies enterica serovar Butantan var O:15, 34+ (organism)
114269009	Salmonella enterica subspecies enterica serovar Butantan var O:15+ (organism)
398620001	Salmonella enterica subsp. indica (organism)
5612008	Salmonella Enugu (organism)
49029009	Salmonella Epicrates (organism)
81603009	Salmonella Epinay (organism)
69033009	Salmonella Escanaba (organism)
12517002	Salmonella Eschweiler (organism)
40998003	Salmonella Etterbeek (organism)
114337002	Salmonella Euston (organism)
398622009	Salmonella Everleigh (organism)
5369001	Salmonella Ezra (organism)
76968008	Salmonella Fajara (organism)
44012008	Salmonella Faji (organism)
22899009	Salmonella Falkensee (organism)
43833005	Salmonella Fallowfield (organism)
57804003	Salmonella Fann (organism)
62365004	Salmonella Farakan (organism)
54749003	Salmonella Farcha (organism)
73321004	Salmonella Fareham (organism)
785859001	Salmonella Farmingdale (organism)
53391009	Salmonella Fass (organism)
17611002	Salmonella Fayed (organism)
114778002	Salmonella Ferlo (organism)
114484003	Salmonella Finaghy (organism)
68108004	Salmonella Findorff (organism)
54984007	Salmonella Fischerkietz (organism)
32379001	Salmonella Fischerstrasse (organism)
19430004	Salmonella Fitzroy (organism)
398552007	Salmonella Florian (organism)
19190005	Salmonella Flottbek (organism)
47679004	Salmonella Fortlamy (organism)
74092000	Salmonella Fortune (organism)
114589006	Salmonella Franken (organism)
1291002	Salmonella Frankfurt (organism)
114670004	Salmonella Freefalls (organism)
76702004	Salmonella Freiburg (organism)
51128007	Salmonella Friedenau (organism)
85186008	Salmonella Friedrichsfelde (organism)
2872006	Salmonella Frintrop (organism)
41677008	Salmonella Fufu (organism)
114305003	Salmonella Fulda (organism)
6184007	Salmonella Fulica (organism)
29742006	Salmonella Gafsa (organism)
88944002	Salmonella Galil (organism)
42597008	Salmonella Gallen (organism)
3846009	Salmonella Gamaba (organism)
13794000	Salmonella Gambaga (organism)
66450003	Salmonella Gambia (organism)
85538009	Salmonella Garba (organism)
62414008	Salmonella Gassi (organism)
52995002	Salmonella Gatineau (organism)
59834001	Salmonella Gbadago (organism)
14145004	Salmonella Gdansk (organism)
114537001	Salmonella Gdansk var 14+ (organism)
82784009	Salmonella Gege (organism)
71026007	Salmonella Gelsenkirchen (organism)
22117007	Salmonella Georgia (organism)
65525006	Salmonella Gera (organism)
40703006	Salmonella Geraldton (organism)
114408002	Salmonella Gerland (organism)
18129006	Salmonella Ghana (organism)
51518009	Salmonella Giessen (organism)
114281008	Salmonella Give var 15+ (organism)
114293004	Salmonella Give var 15+, 34+ (organism)
19439003	Salmonella Giza (organism)
51190006	Salmonella Glasgow (organism)
20266009	Salmonella Glidji (organism)
26622005	Salmonella Gnesta (organism)
32275009	Salmonella Godesberg (organism)
67457006	Salmonella Goelzau (organism)
